,idx,0,1,2,3,4,5,6,7,8,9,10,11
0,2.jpg,1,0,0,0,0,0,0,0,0,0,0,0
1,3.jpg,1,0,0,0,0,0,0,0,0,0,0,0
2,4.jpg,1,0,0,0,0,0,0,0,0,0,0,0
3,9.jpg,0,1,0,0,0,0,0,0,0,0,0,0
4,10.jpg,1,0,0,0,0,0,0,0,0,0,0,0
5,13.jpg,0,0,1,0,0,0,0,0,0,0,0,0
6,16.jpg,1,0,0,0,0,0,0,0,0,0,0,0
7,17.jpg,0,0,0,1,0,0,0,0,0,0,0,0
8,26.jpg,1,0,0,0,0,0,0,0,0,0,0,0
9,27.jpg,0,0,0,0,1,0,0,0,0,0,0,0
10,28.jpg,0,0,0,1,0,0,0,0,0,0,0,0
11,30.jpg,0,0,1,0,0,0,0,0,0,0,0,0
12,33.jpg,1,0,0,0,0,0,0,0,0,0,0,0
13,35.jpg,0,0,0,1,0,0,0,0,0,0,0,0
14,36.jpg,1,0,0,0,0,0,0,0,0,0,0,0
15,39.jpg,0,0,0,0,0,1,0,0,0,0,0,0
16,40.jpg,0,1,0,0,0,0,0,0,0,0,0,0
17,41.jpg,0,0,1,0,0,0,0,0,0,0,0,0
18,43.jpg,0,0,0,1,0,0,0,0,0,0,0,0
19,44.jpg,0,0,0,0,0,0,1,0,0,0,0,0
20,47.jpg,0,0,1,0,0,0,0,0,0,0,0,0
21,48.jpg,0,0,0,0,0,0,0,1,0,0,0,0
22,50.jpg,0,0,0,0,1,0,0,0,0,0,0,0
23,53.jpg,0,0,0,0,0,0,1,0,0,0,0,0
24,54.jpg,0,0,0,0,0,0,1,0,0,0,0,0
25,55.jpg,1,0,0,0,0,0,0,0,0,0,0,0
26,56.jpg,0,0,0,0,0,0,0,1,0,0,0,0
27,59.jpg,0,0,0,0,0,0,1,0,0,0,0,0
28,62.jpg,0,0,0,0,0,0,0,0,1,0,0,0
29,63.jpg,0,0,0,1,0,0,0,0,0,0,0,0
30,64.jpg,0,0,1,0,0,0,0,0,0,0,0,0
31,65.jpg,0,0,0,0,0,0,0,0,0,1,0,0
32,69.jpg,0,0,0,0,0,0,1,0,0,0,0,0
33,70.jpg,0,0,0,0,0,0,0,0,1,0,0,0
34,71.jpg,1,0,0,0,0,0,0,0,0,0,0,0
35,73.jpg,1,0,0,0,0,0,0,0,0,0,0,0
36,74.jpg,0,0,0,0,0,0,0,0,1,0,0,0
37,76.jpg,0,0,1,0,0,0,0,0,0,0,0,0
38,77.jpg,0,0,0,0,0,0,0,0,1,0,0,0
39,78.jpg,0,0,0,0,0,0,1,0,0,0,0,0
40,81.jpg,0,1,0,0,0,0,0,0,0,0,0,0
41,82.jpg,0,0,0,0,0,0,0,0,0,1,0,0
42,87.jpg,0,0,0,0,0,1,0,0,0,0,0,0
43,88.jpg,0,0,0,0,0,1,0,0,0,0,0,0
44,90.jpg,1,0,0,0,0,0,0,0,0,0,0,0
45,91.jpg,1,0,0,0,0,0,0,0,0,0,0,0
46,92.jpg,0,1,0,0,0,0,0,0,0,0,0,0
47,93.jpg,0,0,0,0,0,0,0,0,1,0,0,0
48,94.jpg,1,0,0,0,0,0,0,0,0,0,0,0
49,95.jpg,0,0,0,0,0,0,0,0,1,0,0,0
50,99.jpg,0,0,0,0,0,0,0,0,0,1,0,0
51,101.jpg,0,0,0,0,1,0,0,0,0,0,0,0
52,103.jpg,0,0,0,0,0,0,0,0,0,1,0,0
53,106.jpg,0,0,1,0,0,0,0,0,0,0,0,0
54,107.jpg,0,0,0,0,0,0,0,1,0,0,0,0
55,112.jpg,0,0,0,0,0,0,1,0,0,0,0,0
56,116.jpg,0,0,0,1,0,0,0,0,0,0,0,0
57,117.jpg,0,0,0,0,1,0,0,0,0,0,0,0
58,118.jpg,0,0,0,0,0,0,1,0,0,0,0,0
59,119.jpg,1,0,0,0,0,0,0,0,0,0,0,0
60,120.jpg,0,0,0,0,0,0,0,0,1,0,0,0
61,124.jpg,0,0,0,0,0,0,0,0,0,1,0,0
62,126.jpg,1,0,0,0,0,0,0,0,0,0,0,0
63,127.jpg,1,0,0,0,0,0,0,0,0,0,0,0
64,128.jpg,0,1,0,0,0,0,0,0,0,0,0,0
65,129.jpg,0,0,0,0,0,0,0,0,0,1,0,0
66,130.jpg,0,0,0,0,0,0,1,0,0,0,0,0
67,131.jpg,1,0,0,0,0,0,0,0,0,0,0,0
68,132.jpg,0,0,0,0,0,0,0,0,1,0,0,0
69,133.jpg,1,0,0,0,0,0,0,0,0,0,0,0
70,134.jpg,0,0,0,0,0,0,0,1,0,0,0,0
71,137.jpg,0,0,0,0,0,0,1,0,0,0,0,0
72,138.jpg,0,0,0,1,0,0,0,0,0,0,0,0
73,139.jpg,0,0,0,0,0,0,0,0,1,0,0,0
74,141.jpg,0,0,1,0,0,0,0,0,0,0,0,0
75,142.jpg,1,0,0,0,0,0,0,0,0,0,0,0
76,143.jpg,1,0,0,0,0,0,0,0,0,0,0,0
77,146.jpg,1,0,0,0,0,0,0,0,0,0,0,0
78,148.jpg,0,0,0,0,0,0,1,0,0,0,0,0
79,150.jpg,1,0,0,0,0,0,0,0,0,0,0,0
80,151.jpg,0,0,0,0,0,0,0,0,0,1,0,0
81,153.jpg,0,0,0,0,0,1,0,0,0,0,0,0
82,156.jpg,0,0,1,0,0,0,0,0,0,0,0,0
83,161.jpg,0,0,0,1,0,0,0,0,0,0,0,0
84,164.jpg,0,0,0,0,0,0,0,0,0,1,0,0
85,165.jpg,0,0,0,0,0,0,0,0,0,1,0,0
86,167.jpg,0,0,0,0,0,0,1,0,0,0,0,0
87,168.jpg,0,0,0,1,0,0,0,0,0,0,0,0
88,171.jpg,1,0,0,0,0,0,0,0,0,0,0,0
89,173.jpg,0,0,0,0,0,0,0,0,0,1,0,0
90,176.jpg,0,0,0,0,0,0,0,0,0,1,0,0
91,177.jpg,0,0,0,1,0,0,0,0,0,0,0,0
92,178.jpg,0,0,0,0,0,0,0,0,0,1,0,0
93,179.jpg,0,0,0,0,0,0,0,0,0,1,0,0
94,180.jpg,0,0,0,0,0,0,0,0,0,0,1,0
95,181.jpg,0,0,0,0,0,0,0,1,0,0,0,0
96,183.jpg,0,0,0,0,0,0,1,0,0,0,0,0
97,185.jpg,0,0,0,0,0,0,0,0,1,0,0,0
98,186.jpg,0,0,0,0,0,0,0,0,0,0,0,1
99,187.jpg,0,1,0,0,0,0,0,0,0,0,0,0
100,188.jpg,0,0,0,0,0,0,0,0,0,0,1,0
101,189.jpg,0,0,1,0,0,0,0,0,0,0,0,0
102,190.jpg,0,0,0,0,0,0,0,0,1,0,0,0
103,192.jpg,0,0,0,1,0,0,0,0,0,0,0,0
104,193.jpg,1,0,0,0,0,0,0,0,0,0,0,0
105,194.jpg,0,0,0,0,0,0,1,0,0,0,0,0
106,199.jpg,0,0,1,0,0,0,0,0,0,0,0,0
107,200.jpg,0,0,0,0,1,0,0,0,0,0,0,0
108,203.jpg,0,0,0,0,0,0,0,0,0,1,0,0
109,204.jpg,0,0,0,0,0,1,0,0,0,0,0,0
110,206.jpg,1,0,0,0,0,0,0,0,0,0,0,0
111,208.jpg,0,0,0,0,0,1,0,0,0,0,0,0
112,216.jpg,0,0,0,1,0,0,0,0,0,0,0,0
113,217.jpg,0,0,0,0,0,0,0,0,0,1,0,0
