,idx,hair
0,2,0
1,3,0
2,4,0
3,9,1
4,10,0
5,13,2
6,16,0
7,17,3
8,26,0
9,27,4
10,28,3
11,30,2
12,33,0
13,35,3
14,36,0
15,39,5
16,40,1
17,41,2
18,43,3
19,44,6
20,47,2
21,48,7
22,50,4
23,53,6
24,54,6
25,55,0
26,56,7
27,59,6
28,62,8
29,63,3
30,64,2
31,65,9
32,69,6
33,70,8
34,71,0
35,73,0
36,74,8
37,76,2
38,77,8
39,78,6
40,81,1
41,82,9
42,87,5
43,88,5
44,90,0
45,91,0
46,92,1
47,93,8
48,94,0
49,95,8
50,99,9
51,101,4
52,103,9
53,106,2
54,107,7
55,112,6
56,116,3
57,117,4
58,118,6
59,119,0
60,120,8
61,124,9
62,126,0
63,127,0
64,128,1
65,129,9
66,130,6
67,131,0
68,132,8
69,133,0
70,134,7
71,137,6
72,138,3
73,139,8
74,141,2
75,142,0
76,143,0
77,146,0
78,148,6
79,150,0
80,151,9
81,153,5
82,156,2
83,161,3
84,164,9
85,165,9
86,167,6
87,168,3
88,171,0
89,173,9
90,176,9
91,177,3
92,178,9
93,179,9
94,180,10
95,181,7
96,183,6
97,185,8
98,186,11
99,187,1
100,188,10
101,189,2
102,190,8
103,192,3
104,193,0
105,194,6
106,199,2
107,200,4
108,203,9
109,204,5
110,206,0
111,208,5
112,216,3
113,217,9
114,218,6
115,219,9
116,222,3
117,225,0
118,231,6
119,232,10
120,233,6
121,234,8
122,238,3
123,239,5
124,240,3
125,242,0
126,244,6
127,254,6
128,255,6
129,256,6
130,257,2
131,258,1
132,259,9
133,262,0
134,263,9
135,264,6
136,266,6
137,267,6
138,271,8
139,272,6
140,276,4
141,279,5
142,280,6
143,283,0
144,287,5
145,290,0
146,292,9
147,293,6
148,294,0
149,297,11
150,301,3
151,303,9
152,304,6
153,307,0
154,308,6
155,309,1
156,312,2
157,313,9
158,315,6
159,316,2
160,317,6
161,318,8
162,319,8
163,320,0
164,321,2
165,323,6
166,325,8
167,326,6
168,329,6
169,330,8
170,331,4
171,332,7
172,334,9
173,336,9
174,340,1
175,342,8
176,343,10
177,345,0
178,346,9
179,352,6
180,353,0
181,356,2
182,357,0
183,358,6
184,360,5
185,362,4
186,364,3
187,367,0
188,368,8
189,369,9
190,371,9
191,373,9
192,374,4
193,378,6
194,379,8
195,380,0
196,384,0
197,385,6
198,386,9
199,387,3
200,388,10
201,389,8
202,393,0
203,395,9
204,396,9
205,401,0
206,402,1
207,403,11
208,406,8
209,407,0
210,409,10
211,411,8
212,412,2
213,413,9
214,414,6
215,415,0
216,416,1
217,423,3
218,426,10
219,427,7
220,429,3
221,430,9
222,431,5
223,432,9
224,433,1
225,434,10
226,436,0
227,438,9
228,439,7
229,443,9
230,445,8
231,450,6
232,452,0
233,453,9
234,459,4
235,460,3
236,461,9
237,464,1
238,469,6
239,470,9
240,476,0
241,481,3
242,487,0
243,489,8
244,490,1
245,492,2
246,496,9
247,500,11
248,502,6
249,503,0
250,504,9
251,505,9
252,508,6
253,510,3
254,515,9
255,516,6
256,517,6
257,520,10
258,521,0
259,522,9
260,523,3
261,526,9
262,528,7
263,535,9
264,537,8
265,539,5
266,541,6
267,542,6
268,543,0
269,548,8
270,550,2
271,551,0
272,552,7
273,554,8
274,557,6
275,559,5
276,560,8
277,561,2
278,567,6
279,568,9
280,572,5
281,576,8
282,577,10
283,579,4
284,583,1
285,584,0
286,585,0
287,588,4
288,590,6
289,592,8
290,593,3
291,594,9
292,596,3
293,599,1
294,601,11
295,602,8
296,603,0
297,605,6
298,606,9
299,610,5
300,613,0
301,614,0
302,616,2
303,617,7
304,618,10
305,620,9
306,621,0
307,623,0
308,625,6
309,628,10
310,632,0
311,634,0
312,635,0
313,637,11
314,638,9
315,639,4
316,640,0
317,641,8
318,644,6
319,645,0
320,646,6
321,647,7
322,651,3
323,653,3
324,663,9
325,664,2
326,665,7
327,666,9
328,667,0
329,669,5
330,671,0
331,672,3
332,675,0
333,680,3
334,681,6
335,682,9
336,684,9
337,685,9
338,686,9
339,688,6
340,692,4
341,694,6
342,696,4
343,699,11
344,702,0
345,707,0
346,711,0
347,712,1
348,714,1
349,718,6
350,724,0
351,725,8
352,726,0
353,728,10
354,729,9
355,732,6
356,733,0
357,735,9
358,736,0
359,738,0
360,740,0
361,742,6
362,743,11
363,744,9
364,745,1
365,746,0
366,747,5
367,750,9
368,753,9
369,757,0
370,759,0
371,760,10
372,762,0
373,764,9
374,766,6
375,770,6
376,771,0
377,773,0
378,775,8
379,777,6
380,778,3
381,781,11
382,783,1
383,784,5
384,786,4
385,795,0
386,796,6
387,798,9
388,799,1
389,800,8
390,802,0
391,804,0
392,805,9
393,807,9
394,808,0
395,809,1
396,810,3
397,811,9
398,815,11
399,816,8
400,819,9
401,820,6
402,822,5
403,823,6
404,834,3
405,836,10
406,837,9
407,840,9
408,842,9
409,843,9
410,846,3
411,848,2
412,849,6
413,850,9
414,852,6
415,853,5
416,854,3
417,857,0
418,858,3
419,860,3
420,861,0
421,865,8
422,868,7
423,869,0
424,870,0
425,872,4
426,873,1
427,875,9
428,876,9
429,878,3
430,882,1
431,884,0
432,885,8
433,886,9
434,887,4
435,888,1
436,889,0
437,891,0
438,892,7
439,894,6
440,898,0
441,899,6
442,902,10
443,905,9
444,906,6
445,907,3
446,910,4
447,912,9
448,913,7
449,914,6
450,915,9
451,916,3
452,918,5
453,919,0
454,920,6
455,922,0
456,925,0
457,928,10
458,931,3
459,932,9
460,933,6
461,937,8
462,938,4
463,941,0
464,942,8
465,945,6
466,949,6
467,951,6
468,952,0
469,954,7
470,956,7
471,957,0
472,960,0
473,961,9
474,963,1
475,964,7
476,966,0
477,967,9
478,968,7
479,969,0
480,972,6
481,975,7
482,976,1
483,977,9
484,980,0
485,981,8
486,982,0
487,985,0
488,986,8
489,990,9
490,991,8
491,992,6
492,993,6
493,995,0
494,996,6
495,997,8
496,998,2
497,1000,6
498,1004,8
499,1009,9
500,1014,9
501,1015,0
502,1019,2
503,1021,0
504,1022,0
505,1024,10
506,1025,0
507,1026,5
508,1030,6
509,1031,9
510,1032,0
511,1033,6
512,1034,6
513,1035,6
514,1036,3
515,1037,3
516,1038,6
517,1041,8
518,1045,9
519,1047,3
520,1048,7
521,1054,9
522,1055,5
523,1058,7
524,1061,5
525,1062,0
526,1064,1
527,1065,6
528,1068,9
529,1069,0
530,1070,4
531,1071,0
532,1073,7
533,1074,0
534,1076,0
535,1077,8
536,1078,0
537,1080,6
538,1081,8
539,1082,0
540,1083,5
541,1085,1
542,1086,3
543,1087,7
544,1090,0
545,1093,0
546,1094,4
547,1097,10
548,1098,9
549,1099,3
550,1100,3
551,1102,8
552,1103,7
553,1106,3
554,1107,9
555,1109,3
556,1112,1
557,1114,0
558,1116,3
559,1117,6
560,1121,1
561,1122,6
562,1123,5
563,1124,9
564,1129,9
565,1133,1
566,1134,8
567,1136,6
568,1139,2
569,1144,11
570,1147,9
